n	qpu_t	find_embedding_t	FixedEmbedding_t	num_qubits	topology
6	1.1805803775787354	3.4358131885528564	0.01520848274230957	367	chimera
6	1.3832077980041504	3.820451498031616	0.012583494186401367	378	chimera
6	1.1726949214935303	2.760207176208496	0.014628171920776367	389	chimera
6	1.1640586853027344	5.917133808135986	0.012548208236694336	362	chimera
6	1.322263240814209	5.219396591186523	0.012399911880493164	361	chimera
6	1.1096923351287842	10.194215297698975	0.034539222717285156	355	chimera
6	1.249537467956543	7.1207544803619385	0.03450179100036621	382	chimera
6	3.7485859394073486	5.582920551300049	0.02086615562438965	373	chimera
6	1.3950741291046143	15.482485294342041	0.01675891876220703	361	chimera
6	1.2211265563964844	8.69247317314148	0.03072333335876465	358	chimera
6	1.4665346145629883	5.079744577407837	0.014206647872924805	380	chimera
6	1.4003453254699707	4.195368766784668	0.015000581741333008	368	chimera
6	1.3836205005645752	4.382678985595703	0.015042304992675781	350	chimera
6	1.290914535522461	4.722886800765991	0.04054141044616699	374	chimera
6	1.9887769222259521	6.473482847213745	0.036444902420043945	389	chimera
6	1.5817079544067383	3.326014757156372	0.01738882064819336	385	chimera
6	1.6847710609436035	9.030669689178467	0.011125326156616211	338	chimera
6	1.480794906616211	4.881004095077515	0.0182650089263916	368	chimera
6	4.462432384490967	6.468471050262451	0.011496782302856445	355	chimera
6	1.441263198852539	8.022434949874878	0.01391744613647461	360	chimera
6	1.3484973907470703	10.651333570480347	0.012554168701171875	348	chimera
6	1.3173518180847168	4.2263453006744385	0.016798734664916992	381	chimera
6	1.4911706447601318	9.616175651550293	0.013029098510742188	367	chimera
6	1.3210198879241943	4.542889833450317	0.011947154998779297	374	chimera
6	1.318448781967163	4.316652297973633	0.03451943397521973	391	chimera
6	1.3955750465393066	8.224161624908447	0.014097929000854492	376	chimera
6	1.4941847324371338	5.886999845504761	0.018599987030029297	371	chimera
6	1.7265105247497559	4.046041488647461	0.013053655624389648	404	chimera
6	1.3897297382354736	5.749149560928345	0.014400720596313477	371	chimera
6	1.356456995010376	6.235322952270508	0.033353328704833984	383	chimera
6	1.3991780281066895	9.764127969741821	0.012505054473876953	357	chimera
6	5.266240835189819	11.489723205566406	0.011574029922485352	340	chimera
6	1.2091569900512695	4.662323951721191	0.01096200942993164	358	chimera
6	1.234447717666626	7.492991924285889	0.013175010681152344	350	chimera
6	1.260511875152588	10.86855149269104	0.018167972564697266	356	chimera
6	1.6780712604522705	4.752489805221558	0.014399290084838867	352	chimera
6	1.405273199081421	5.196887016296387	0.013706207275390625	367	chimera
6	1.2630183696746826	5.400122404098511	0.017739295959472656	367	chimera
6	1.3414452075958252	4.594994306564331	0.016170263290405273	365	chimera
6	1.3033504486083984	6.131346225738525	0.012217998504638672	383	chimera
6	1.1967408657073975	3.0083911418914795	0.013627052307128906	381	chimera
6	1.2457308769226074	3.2968034744262695	0.014631509780883789	372	chimera
6	1.165534496307373	2.2509095668792725	0.013218402862548828	395	chimera
6	1.2578113079071045	4.174707889556885	0.013296842575073242	353	chimera
6	1.2817022800445557	2.6634538173675537	0.014524698257446289	392	chimera
6	1.2562012672424316	8.681311130523682	0.014197826385498047	365	chimera
6	1.2813136577606201	5.477095365524292	0.012280702590942383	362	chimera
6	4.99629020690918	6.988146781921387	0.01177835464477539	344	chimera
6	1.2399117946624756	11.251475095748901	0.011652231216430664	362	chimera
6	1.4380519390106201	6.445685863494873	0.014988183975219727	378	chimera
6	1.2474603652954102	7.218457221984863	0.013610363006591797	360	chimera
6	1.343085527420044	5.949885606765747	0.012004613876342773	360	chimera
6	1.4095299243927002	8.007981777191162	0.011935710906982422	366	chimera
6	1.3321046829223633	5.6818764209747314	0.01067972183227539	365	chimera
6	1.3866569995880127	4.94367527961731	0.012786149978637695	357	chimera
6	1.4039485454559326	4.1556103229522705	0.012331962585449219	359	chimera
6	1.4155097007751465	3.705125570297241	0.012726783752441406	371	chimera
6	1.3403980731964111	10.74132251739502	0.013535022735595703	359	chimera
6	1.2800724506378174	2.9010732173919678	0.021392345428466797	375	chimera
6	1.3406298160552979	5.754065036773682	0.011475324630737305	357	chimera
6	1.396733045578003	4.69492769241333	0.01286625862121582	356	chimera
6	1.310619831085205	5.706023216247559	0.014923334121704102	380	chimera
6	1.4045825004577637	3.415938138961792	0.012359857559204102	375	chimera
