n   d   nvars   num_itr   p_sol   sp_name   py_time   energy   solution
50   98   1050   10000   0.0001   SimulatedAnnealingSampler   1328855.2029132843   -100.0   YES
50   98   1050   10000   0.0   SimulatedAnnealingSampler   1134501.9471645355   -96.0   NO
50   98   1050   10000   0.0   SimulatedAnnealingSampler   1154255.7837963104   -96.0   NO
50   98   1050   10000   0.0   SimulatedAnnealingSampler   1156012.4099254608   -96.0   NO


50   98   1050   50000   0.0001   SimulatedAnnealingSampler   5416321.567296982   -100.0   YES


50   98   1050   20000   0.0   SimulatedAnnealingSampler   2148522.0975875854   -96.0   NO


50   98   1050   30000   6.666666666666667e-05   SimulatedAnnealingSampler   3215147.404909134   -100.0   YES
50   98   1050   30000   3.3333333333333335e-05   SimulatedAnnealingSampler   3245868.905067444   -100.0   YES
50   98   1050   30000   3.3333333333333335e-05   SimulatedAnnealingSampler   3248525.3036022186   -100.0   YES
50   98   1050   30000   0.00013333333333333334   SimulatedAnnealingSampler   3334675.3482818604   -100.0   YES
50   98   1050   30000   3.3333333333333335e-05   SimulatedAnnealingSampler   3256215.9798145294   -100.0   YES
